"approximatePropCompleted","startDate","endDate","finished","MID","mTurkID","mTurkIDrepeat","FFQfreqDairy","FFQfreqChicken","FFQfreqTurkey","FFQfreqFish","FFQfreqPork","FFQfreqBeef","FFQfreqOther","FFQfreqEggs","FFQfreqFruit","FFQfreqVegetables","FFQfreqNuts","FFQfreqBeans","FFQfreqVegMeats","FFQfreqGrains","howOftenEatMeat","everEatenVeg","startVegDiet","endVegDiet","intentChangeFruitVeg","intentChangeMeat","ATDpurchContToSuff","ATDstandOfLive","ATDenviron","ATDreduceTrend","ATDhealthier","CONSIDprice","CONSIDnutrition","CONSIDhormones","CONSIDstandLiving","CONSIDtaste","CONSIDenviron","CONSIDother","CONSIDotherText","feelTherm","goalEliminateMeat","goalReduceMeat","location","female","highestEDU","highestEDUother","yearBorn","income","FFQtotalSumMeat"
0.932038834951456,"2016-06-23 13:00:10","2016-06-23 13:06:40",1,"d7da200b480688d491a2f43656334daa","d7da200b480688d491a2f43656334daa","d7da200b480688d491a2f43656334daa",0,3.5,0,0,0,0,0,1,3.5,14,3.5,0,0,0,6,1,"03/2000","12/2009",5,4,5,1,4,7,7,NA,NA,NA,"Whether the animals had a good standard of living",NA,NA,"Other (please specify):","if it is organic or not, I only eat organic",5,1,2,"Montana",1,5,NA,1981,1,3.5
0.932038834951456,"2016-06-23 14:08:25","2016-06-23 14:14:38",1,"06e389b7921340a104e30fed3d65d22e","06e389b7921340a104e30fed3d65d22e","06e389b7921340a104e30fed3d65d22e",14,3.5,3.5,3.5,0,1,0,1,3.5,14,1,14,1,14,6,1,"01/2016","02/2016",6,3,5,1,4,4,7,NA,NA,"Whether the product is antibiotic and/or hormone free",NA,NA,NA,"Other (please specify):","whether the product is organic",10,3,5,"Michigan",1,5,NA,1992,1,11.5
0.932038834951456,"2016-06-23 15:14:44","2016-06-23 15:21:47",1,"a91dbf42525d7314f82cc9ecb7e21857","a91dbf42525d7314f82cc9ecb7e21857","a91dbf42525d7314f82cc9ecb7e21857",3.5,3.5,3.5,1,3.5,3.5,1,0,3.5,3.5,3.5,1,0,3.5,6,1,"01/01/2016","05/20/2016",5,3,2,3,4,5,5,"Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,10,6,6,"Illinois",1,3,"Current Studen",1989,1,16
0.932038834951456,"2016-06-23 15:19:32","2016-06-23 15:49:45",1,"76e32dd4e9ea6de500f2d7283049a918","76e32dd4e9ea6de500f2d7283049a918","76e32dd4e9ea6de500f2d7283049a918",3.5,1,3.5,3.5,1,3.5,1,3.5,3.5,14,1,3.5,1,14,6,1,"03/06/2009","06/30/2009",6,4,5,1,7,5,5,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","I am allergic to pork and chicken",7,1,3,"Indiana",1,3,NA,1980,2,13.5
0.932038834951456,"2016-06-23 15:43:55","2016-06-23 15:53:23",1,"15a789ba3c3bf1df1ad5f7f2e2d2f398","15a789ba3c3bf1df1ad5f7f2e2d2f398","15a789ba3c3bf1df1ad5f7f2e2d2f398",3.5,3.5,1,3.5,1,1,1,1,1,3.5,1,14,1,14,4,1,"07/2015","09/2015",5,2,6,3,6,4,6,NA,NA,NA,NA,NA,"The environmental impacts of the product","Other (please specify):","Is it certified organic and free range",10,2,6,"California",1,3,NA,1979,4,11
0.932038834951456,"2016-06-23 15:54:47","2016-06-23 16:03:15",1,"a2cd5f18f12b663d791dd1f5d820e05d","a2cd5f18f12b663d791dd1f5d820e05d","a2cd5f18f12b663d791dd1f5d820e05d",14,0,0,1,0,0,0,3.5,14,28,3.5,3.5,1,14,5,1,"10/2004","10/2009",5,4,6,1,6,4,6,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","Is this a company I trust overall?",8,1,2,"California",1,5,NA,1993,0,1
0.932038834951456,"2016-06-23 17:40:57","2016-06-23 17:48:42",1,"8d5af98cb0bb3f02eee6cbeff8cf9d08","8d5af98cb0bb3f02eee6cbeff8cf9d08","8d5af98cb0bb3f02eee6cbeff8cf9d08",3.5,1,0,1,0,1,0,0,3.5,3.5,1,0,0,14,2,1,"01/1999","06/2004",4,4,6,1,6,2,6,"Price of the product",NA,NA,"Whether the animals had a good standard of living",NA,NA,NA,NA,10,6,6,"Missouri",1,4,"Trade school",1984,1,3
0.932038834951456,"2016-06-23 20:03:16","2016-06-23 20:07:48",1,"54a70e7232078e80853af4acbd080575","54a70e7232078e80853af4acbd080575","54a70e7232078e80853af4acbd080575",0,1,0,3.5,1,1,1,3.5,3.5,14,3.5,3.5,1,14,2,1,"01/2016","04/2016",5,5,6,1,3,4,5,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","The packaging of the product.",6,3,5,"Missouri",0,5,NA,1985,1,7.5
0.932038834951456,"2016-06-24 11:22:05","2016-06-24 11:30:23",1,"453f27be41481a602e250fd591ee285a","453f27be41481a602e250fd591ee285a","453f27be41481a602e250fd591ee285a",14,3.5,1,1,0,0,0,14,1,28,3.5,1,0,0,6,1,"02/01/14","04/15/14",5,4,7,1,7,3,7,NA,NA,"Whether the product is antibiotic and/or hormone free","Whether the animals had a good standard of living",NA,NA,NA,NA,10,3,5,"Pennsylvania",1,4,"2 Associates Degrees",1956,1,5.5
0.932038834951456,"2016-06-24 18:24:57","2016-06-24 18:31:43",1,"2f1772bc51ae9e56e1994468e1f08089","2f1772bc51ae9e56e1994468e1f08089","2f1772bc51ae9e56e1994468e1f08089",14,3.5,1,1,1,3.5,0,3.5,3.5,14,3.5,3.5,14,14,6,1,"06/2014","12/2014",5,4,4,2,3,4,6,"Price of the product","Nutritional content of the product",NA,NA,NA,NA,NA,NA,9,3,5,"New Jersey",1,4,"Associate Degree",1962,2,10
0.932038834951456,"2016-06-24 19:32:05","2016-06-24 19:37:39",1,"1d8c70d0306cbcb34ac8596f3d1e3fe1","1d8c70d0306cbcb34ac8596f3d1e3fe1","1d8c70d0306cbcb34ac8596f3d1e3fe1",0,1,0,0,0,0,0,0,14,14,3.5,14,14,14,1,1,"11/2007","still vegan",4,4,7,1,7,6,7,NA,NA,NA,NA,NA,"The environmental impacts of the product","Other (please specify):","N/A, I never buy meat, eggs, or dairy ",10,7,7,"Colorado",0,3,NA,1993,2,1
