"mTurkID","treatment","block_id"
"6bedad890d1c6c5ed8be7dddfd5a1fb7","veg",301
"aa1651a94ba384373a49e2487f63593c","veg",81
"54d16ab5e9a65b9001ff1597be69db3b","veg",540
"5e82a1d57cd85dac09549322f9334d59","control",804
"9a726a88d2ac4996fdcd98f51e3eed84","veg",0
"d9e5acd51c6e14b27571ae87ace1f662","veg",0
"80777bbb76ce3c65705a40c3b344e141","veg",443
"93a60095e2871d69eb6f15f1815e2da1","control",836
"0d443e36af5b524120a5304dc655553f","control",623
"5e5c0614423cc0b6dd7ca923bae8e516","control",114
"dec18f224e15f42766f8e46aa3238d5b","reduce",264
"b2182be000f1b627ffac04056df40fd5","reduce",549
"64cd28728f8fb33018046b76fc760448","veg",822
"d5fe84acd7fb1486fae40f53b5562f80","control",154
"72abaface134a3ba8c978ed73005e1ab","veg",79
"d5dcd8630a6fc25c72e82497112812ee","reduce",651
"a0a98b17659f86adacf73c50cb8a9282","control",389
"e0472d45fc4118fcecc159ebbcf8474c","control",403
"e8743ce2fa2b55c54692d32896516def","control",604
"eae07ee3d7448ff5a8bd25bbfbc38dff","reduce",793
"7b8db094b5ebf27900db9c97c50a7dc6","control",320
"a71b426330244191806456a425752ec6","veg",46
"54d16ab5e9a65b9001ff1597be69db3b","veg",540
"a2cd5f18f12b663d791dd1f5d820e05d","veg",131
"1f310a16bb9a193f4677d2162e213558","reduce",674
"5e82a1d57cd85dac09549322f9334d59","control",804
"06e389b7921340a104e30fed3d65d22e","veg",551
"a8dbbfe9b793df1d31b5bee37c7a4b30","control",859
"82d9e62317352541c43d2f0320ee80fc","reduce",691
"788f9474c1f75fb40d4cbdc12ad922f0","control",370
"6af8f9a6001496461ad75fc75f63f4a1","control",948
"14a023d6cffb7d617513b667016f7764","veg",297
"bf9d59e9c932587194bebe6eb0eb6623","control",757
"b62e8ae6f8903127d11541575d8d8c41","veg",294
"673d6246d1c59e83348ea1928b31b117","control",602
"195f20cf7067e4fe45fb0b27b8445b43","control",126
"a6b1926a539cc4df1b4e687aba279710","control",6
"5d75fa381315d7fd2327e4f59c10ddbe","reduce",0
"a1c42732abe745d44897614541ecb8e6","veg",344
"66590cc19a6ea6e755c9b073404e8c9c","reduce",143
"950d112cec447d1ae5bbf1f73305cc43","veg",274
"f438f289ed74d52b6eea012ef0e092eb","reduce",314
"d973ccf3d9f9bb582cbe63fdbf1eb2c0","control",491
"6b7e7959df8d6292745664221eb18e63","control",199
"46f37b76d85dca4acfe039dbc7e61839","control",423
"87b3da75b1c95a088647bbe0160cc58c","control",245
"ee864455f81b34e76e9da40ee954f592","reduce",272
"b5cd2fce2a3c6a942e7dd387f38831ba","control",631
"c9f9059ae4f78b9987e129d86287052d","control",710
"617de74eb186ca8e85e91cdc94694189","veg",918
"193d5378f81677272a01417b5ec50c13","control",966
"5b8834bb7fe8919711805f943e256667","veg",781
"9b0cdd460ab7556818c2c9489eb1b684","reduce",804
"6ecec689339c59e6e619d4d7e940b912","veg",414
"a0a98b17659f86adacf73c50cb8a9282","control",389
"63c55b8d8e40b9c5b23b6bcd7cb20594","reduce",953
"eb04f2d9879803d350bd3ca9b15ee1e2","reduce",487
"343c125804213e04cd60a7c0ee5464e4","reduce",670
"256a58192f129fa7192e7377e1bdb625","reduce",665
"37b053d962b5ff95aedcc8f4cf70a9b1","veg",183
"0eebdf5c393557c6d62648853afbb372","veg",0
"114c46ea594eb9c4a247a8a366be6006","veg",488
"9b4f8a14f5b325fb50793c18e332df8a","reduce",335
"6fa02ad1684a1a945887692ab45f9e9b","control",706
"af240dcebc7f741219ac1a1ca2aea40d","reduce",964
"4653e6ef05a7a02bed22c91e3cec7c2d","veg",828
"8a9b97237e5b917511544bd2e8bb3f9c","control",256
"f35399b42512641152ca0bf4d4b4f8bc","reduce",554
"085467607341c2a755f4b64a4caedc48","veg",483
"a966dffafe0ad0067678a80bb9d9c78d","veg",837
"af177ed3916a4c7cbe98430fcdb2aeda","veg",0
"93d68d79f492b3c55e60ed8744a366ff","reduce",63
"2e3a29d85f4eb35017dff026eab4ff07","reduce",677
"2401b1a9d402a23d62cefda873cf742e","veg",699
"c0296697f3578610fb09387ab075653c","veg",849
"252e127cae470519f25340afbbb35bf0","reduce",306
"1ad5222d08688797869c47ee8bdb1875","reduce",507
"74494d2290d4f7aba35e41f031652547","reduce",546
"bcd7aa62ef4ccc5bc5e9c15ee94b576b","control",299
"e07a150ee7d993a415d9fb70ee90fd08","control",361
"a39fff0f60d4cdf95f49297267d0673b","veg",958
"e18efd25ade21290dcc99e6accf51d2c","reduce",437
"e55d3bde2a6a36f02eec581d96e60bd3","veg",640
"7ce5f0a86e4830f414a79fa6845ac44c","control",225
"aef97ea0100eb8536197e01b8fc9aa66","veg",709
"b05aeb8d38e747e50f263b3d1b11d2dd","reduce",980
"b785a682461beeaabb5e59b638be4764","reduce",497
"71f6b3dab4fdc25f3e4a76ab5b6eab08","control",834
"7c12b7855ab9cd64e8fb530de3f6da55","control",0
"47f25f24e3fd5080a0f05dbd3692fb32","control",855
"e99ef2df20a56875cfaec7b0ddb433f2","reduce",935
"9ddd0e9532be9f45d06a2e50412f2647","control",481
"2da571d94bd683bf961d040af14c6561","reduce",330
"47cb9a61fe8a142a4cc118573f08b2f2","reduce",299
"d18bd67d513cdda2de6a94d6bebec6aa","veg",975
"11357bff64ceb26956b5bb262bd51688","veg",757
"b3c650876fbc7174aad216f557bddc04","reduce",832
"0638fcd2fabe7cda41ba9ff1f879cd49","reduce",589
"8abf34a26bf1724ac297570f3a282005","control",12
"2966630996a6c203980aa8ae2181cda7","control",929
"6ca98668d18e5838f6f3fc97262ad1b8","veg",793
"9f76f49ce05a2979568bb8477465933e","reduce",840
"a5132e210f3137c0fd0c8b74f1ae8540","reduce",358
"fd5db5421e4e3cb449cf2fcab33bff1a","veg",545
"7a26f3cc31f59525d742476fd0e0825e","control",137
"f0662e3c566ad0a82a1bb291359111e3","control",469
"c25498d541bfa2317a64f94a9d408aa4","reduce",965
"a8ee6d28cc3889a82d20b8092e6d184d","reduce",354
"82736063a705f4b2c8daf327600eac0a","control",905
"cacf20fbaef82a57bb1893722295cc43","control",133
