"approximatePropCompleted","startDate","endDate","finished","MID","mTurkID","mTurkIDrepeat","FFQfreqDairy","FFQfreqChicken","FFQfreqTurkey","FFQfreqFish","FFQfreqPork","FFQfreqBeef","FFQfreqOther","FFQfreqEggs","FFQfreqFruit","FFQfreqVegetables","FFQfreqNuts","FFQfreqBeans","FFQfreqVegMeats","FFQfreqGrains","howOftenEatMeat","intentChangeFruitVeg","intentChangeMeat","ATDpurchContToSuff","ATDstandOfLive","ATDenviron","ATDreduceTrend","ATDhealthier","CONSIDprice","CONSIDnutrition","CONSIDhormones","CONSIDstandLiving","CONSIDtaste","CONSIDenviron","CONSIDother","CONSIDotherText","intellCows","intellPigs","intellChicken","intellFish","intellHumans","intellDogs","intellHorses","mediaConsumed","numDiscussions","feelTherm","goalEliminateMeat","goalReduceMeat","FFQtotalSumMeat"
0.941176470588235,"2016-08-09 11:49:13","2016-08-09 11:54:43",1,"cce54cedaf4ad3706a22c35becdf75fe","cce54cedaf4ad3706a22c35becdf75fe","cce54cedaf4ad3706a22c35becdf75fe",14,3.5,1,3.5,0,1,0,3.5,14,14,3.5,3.5,0,14,5,5,4,4,4,4,5,6,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","freshness",3,3,3,4,6,5,5,3,0,8,3,6,9
0.941176470588235,"2016-08-09 12:00:54","2016-08-09 12:05:57",1,"30d798a818163a5fae59cfd26b6a6e46","30d798a818163a5fae59cfd26b6a6e46","30d798a818163a5fae59cfd26b6a6e46",28,3.5,1,1,1,3.5,0,3.5,3.5,3.5,1,0,0,14,5,5,4,2,5,2,5,2,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","% lean",5,5,5,5,7,5,5,0,0,10,1,3,10
0.941176470588235,"2016-08-09 12:01:44","2016-08-09 12:07:49",1,"031493c159b943ec01204957d3231c57","031493c159b943ec01204957d3231c57","031493c159b943ec01204957d3231c57",3.5,3.5,1,1,3.5,1,1,3.5,3.5,3.5,3.5,1,0,3.5,4,4,4,1,4,1,5,3,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","Do I like the product.",7,7,7,7,3,7,7,0,0,5,1,4,11
0.941176470588235,"2016-08-09 12:04:00","2016-08-09 12:09:07",1,"d7da200b480688d491a2f43656334daa","d7da200b480688d491a2f43656334daa","d7da200b480688d491a2f43656334daa",14,3.5,0,0,3.5,1,0,0,1,14,1,0,0,14,6,6,3,5,1,2,6,6,NA,NA,NA,"Whether the animals had a good standard of living",NA,NA,"Other (please specify):","whether it is organic and produced locally",3,6,6,4,1,6,5,1,3,5,1,3,8
0.941176470588235,"2016-08-09 11:58:19","2016-08-09 12:15:08",1,"329362bdc0afca8623fc4175f9bd3975","329362bdc0afca8623fc4175f9bd3975","329362bdc0afca8623fc4175f9bd3975",1,0,0,1,3.5,14,14,14,1,3.5,1,28,0,28,6,6,4,3,6,5,6,2,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","When the meat was packaged",4,4,4,4,4,4,4,0,3,5,1,2,32.5
0.941176470588235,"2016-08-09 12:15:33","2016-08-09 12:18:12",1,"0f7e12ec391dbc099aa2d2bc004ed67a","0f7e12ec391dbc099aa2d2bc004ed67a","0f7e12ec391dbc099aa2d2bc004ed67a",3.5,3.5,1,1,1,3.5,3.5,1,3.5,3.5,1,1,0,3.5,4,4,4,4,4,2,2,4,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","what i feel like eating at the time",5,5,5,4,6,6,6,0,0,5,4,4,13.5
0.941176470588235,"2016-08-09 12:46:36","2016-08-09 12:57:12",1,"07fa1b257493a67966e0f02f569decf8","07fa1b257493a67966e0f02f569decf8","07fa1b257493a67966e0f02f569decf8",14,3.5,1,1,1,3.5,1,3.5,14,14,3.5,3.5,1,3.5,6,4,4,5,2,5,6,5,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","Whether it's organically raised in humane environment (includes feed, hormone\antibiotic-free, pasture-raised)",6,6,6,5,7,6,6,3,2,7,1,3,11
0.941176470588235,"2016-08-09 13:01:03","2016-08-09 13:05:16",1,"ef4a9538355bd372fe14229a9a3b5583","ef4a9538355bd372fe14229a9a3b5583","ef4a9538355bd372fe14229a9a3b5583",3.5,3.5,0,1,3.5,3.5,0,0,1,1,0,0,0,3.5,6,6,6,1,5,1,2,1,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","Look of product",6,5,5,5,7,6,6,0,0,10,1,3,11.5
0.941176470588235,"2016-08-09 13:26:38","2016-08-09 13:32:51",1,"b6aff5aef66fa519414272b1aded08bc","b6aff5aef66fa519414272b1aded08bc","b6aff5aef66fa519414272b1aded08bc",14,14,1,3.5,14,3.5,0,3.5,1,14,3.5,1,0,14,6,5,4,5,3,3,5,4,"Price of the product",NA,NA,NA,NA,NA,"Other (please specify):","How fresh/healthy it looks/expiration date",5,6,4,2,7,7,7,0,0,4,1,3,36
0.941176470588235,"2016-08-09 13:46:29","2016-08-09 13:50:23",1,"dd30b4e74f84a3cd2e8e3cde16424262","dd30b4e74f84a3cd2e8e3cde16424262","dd30b4e74f84a3cd2e8e3cde16424262",3.5,1,1,1,3.5,3.5,3.5,3.5,14,14,1,3.5,1,14,6,5,4,1,7,1,1,1,NA,NA,"Whether the product is antibiotic and/or hormone free",NA,NA,NA,"Other (please specify):","where it came from",7,4,7,4,7,7,7,0,4,0,1,1,13.5
