"V7","V8","V9","V10","MID","Q1.1","Q1.2_1_TEXT","Q1.2_2_TEXT","Q2.1","Q2.2.1_1","Q2.2.1_2","Q2.2.1_3","Q2.2.1_4","Q2.2.1_5","Q2.2.1_6","Q2.2.1_7","Q2.2.1_8","Q2.2.1_9","Q2.2.1_10","Q2.2.1_11","Q2.2.1_12","Q2.2.1_13","Q2.2.1_14","Q2.3_1","Q2.3_2","Q2.3_3","Q2.3_4","Q2.4","Q2.5","Q2.6_1_TEXT","Q2.6_2_TEXT","Q2.7_1","Q2.7_2","Q2.7_3","Q2.7_4","Q3.1","Q3.2","Q3.3_1","Q3.3_2","Q3.3_3","Q3.3_4","Q4.1","Q4.2_1","Q4.2_2","Q4.2_4","Q4.2_6","Q4.2_7","Q4.3_2","Q4.3_3","Q4.3_4","Q4.3_7","Q4.3_11","Q4.3_12","Q4.3_13","Q4.3_13_TEXT","Q4.4_1","Q4.4_2","Q4.4_3","Q4.4_4","Q5.1_1","Q5.1_5","Q5.2_1","Q5.2_2","Q5.2_3","Q5.2_4","Q6.1","Q6.2_1","Q6.2_2","Q6.2_3","Q6.2_4","Q7.1_2","Q7.1_3","Q7.2_1","Q7.2_2","Q7.2_3","Q7.2_4","Q8.1","Q8.2","Q8.3","Q8.4","Q8.4_TEXT","Q8.5","Q8.6","Q8.7_1","Q8.7_2","Q8.7_3","Q8.7_4","Q9.1","Q9.2_1","Q9.2_2","Q9.2_3","Q9.2_4","Q9.3","Q9.4_1","Q9.4_2","Q9.4_3","Q9.4_4","DO.Q.Q5.1","DO.Q.Q4.2","DO.Q.Q7.1","DO.Q.Q2.2","DO.Q.Q4.3","X"
0,"2016-06-23 12:41:38","2016-06-23 12:44:37",1,"e915151abe17b8f5788dc862f886f68c","Yes, I agree to participate in this study.","e915151abe17b8f5788dc862f886f68c","e915151abe17b8f5788dc862f886f68c",1,"1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week","less than 1 time per week","1-6 times per week","1-6 times per week","1-6 times per week","1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week","1-6 times per week","1-6 times per week",1,2,3,4,"Every other day","No",NA,NA,1,2,3,4,"Increase","Maintain current levels",1,2,3,4,1,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Price of the product","Nutritional content of the product",NA,NA,NA,NA,NA,NA,1,2,3,4,"Maybe","Maybe",1,2,3,4,8,1,2,3,4,"Neutral","Neutral",1,2,3,4,1,"Connecticut","Male","Some university-level education, without degree",NA,1979,"$40,001 - $50,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|6|4|2|7","2|3","11|8|5|14|13|4|12|1|9|6|3|7|2|10","7|11|2|3|4|12|13",NA
0,"2016-06-23 12:41:32","2016-06-23 12:44:48",1,"44b3ab99e47b1b6cc36627aad064c3ca","Yes, I agree to participate in this study.","44b3ab99e47b1b6cc36627aad064c3ca","44b3ab99e47b1b6cc36627aad064c3ca",1,"1-6 times per week","1-6 times per week","never","never","less than 1 time per week","less than 1 time per week","never","less than 1 time per week","never","less than 1 time per week","less than 1 time per week","less than 1 time per week","never","1-6 times per week",1,2,3,4,"Every day","No",NA,NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Somewhat agree","Price of the product","Nutritional content of the product",NA,NA,NA,NA,NA,NA,1,2,3,4,"Probably yes","Probably not",1,2,3,4,5,1,2,3,4,"Very Difficult","Difficult",1,2,3,4,1,"Florida","female","Some university-level education, without degree",NA,1993,"$20,001 - $30,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|4|6|2|7","3|2","7|8|6|12|1|10|13|2|9|4|5|11|14|3","7|4|12|2|3|11|13",NA
0,"2016-06-23 12:42:16","2016-06-23 12:45:14",1,"c128809fe1aaa29ebc7e1bdfde4ca356","Yes, I agree to participate in this study.","c128809fe1aaa29ebc7e1bdfde4ca356","c128809fe1aaa29ebc7e1bdfde4ca356",1,"1-3 times per day","1-6 times per week","less than 1 time per week","1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week","1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week","1-6 times per week","1-6 times per week","1-6 times per week",1,2,3,4,"Every day","No",NA,NA,1,2,3,4,"Maintain current levels","Maintain current levels",1,2,3,4,1,"Agree","Strongly disagree","Agree","Neither agree nor disagree","Agree","Price of the product","Nutritional content of the product",NA,NA,NA,NA,NA,NA,1,2,3,4,"Probably not","Definitely yes",1,2,3,4,0,1,2,3,4,"Very Difficult","Somewhat Difficult",1,2,3,4,1,"Georgia","male","University-level education, with degree (e.g. BA, BSc, ...)",NA,1987,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","2|4|1|7|6","2|3","2|10|6|5|13|3|14|8|4|1|12|7|11|9","12|2|3|4|7|11|13",NA
0,"2016-06-23 12:41:16","2016-06-23 12:45:14",1,"6962f85ab9d12924db7662b71c04786c","Yes, I agree to participate in this study.","6962f85ab9d12924db7662b71c04786c","6962f85ab9d12924db7662b71c04786c",1,"1-6 times per week","1-6 times per week","less than 1 time per week","less than 1 time per week","less than 1 time per week","less than 1 time per week","less than 1 time per week","1-6 times per week","less than 1 time per week","1-6 times per week","never","never","never","1-6 times per week",1,2,3,4,"2-3 Times a Week","No",NA,NA,1,2,3,4,"Increase","Decrease",1,2,3,4,1,"Agree","Disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Price of the product",NA,NA,NA,NA,"The environmental impacts of the product",NA,NA,1,2,3,4,"Definitely not","Probably yes",1,2,3,4,10,1,2,3,4,"Neutral","Very Easy",1,2,3,4,1,"Colorado","female","Some university-level education, without degree",NA,1992,"$0 - $10,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","6|4|7|1|2","3|2","11|7|5|9|13|3|12|1|8|10|6|4|14|2","4|2|7|12|3|11|13",NA
0,"2016-06-23 12:41:23","2016-06-23 12:45:18",1,"6f0a10f9381b2a4ea97fae02f136e0ea","Yes, I agree to participate in this study.","6f0a10f9381b2a4ea97fae02f136e0ea","6f0a10f9381b2a4ea97fae02f136e0ea",1,"1-3 times per day","1-6 times per week","less than 1 time per week","1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week","1-6 times per week","1-3 times per day","1-3 times per day","1-6 times per week","1-3 times per day","less than 1 time per week","1-3 times per day",1,2,3,4,"2-3 Times a Week","No",NA,NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Disagree","Somewhat agree","Disagree","Neither agree nor disagree","Somewhat agree","Price of the product","Nutritional content of the product",NA,NA,NA,NA,NA,NA,1,2,3,4,"Definitely yes","Probably not",1,2,3,4,8,1,2,3,4,"Difficult","Neutral",1,2,3,4,1,"Indiana","Female","University-level education, with degree (e.g. BA, BSc, ...)",NA,1961,"$0 - $10,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|4|2|7|6","2|3","2|1|3|9|13|10|6|8|4|5|14|7|11|12","12|2|4|3|7|11|13",NA
0,"2016-06-23 12:41:36","2016-06-23 12:45:27",1,"9f1ff16bae724fa2652f000c39a0be97","Yes, I agree to participate in this study.","9f1ff16bae724fa2652f000c39a0be97","9f1ff16bae724fa2652f000c39a0be97",1,"1-6 times per week","1-6 times per week","less than 1 time per week","never","1-6 times per week","1-6 times per week","never","less than 1 time per week","1-3 times per day","1-6 times per week","less than 1 time per week","less than 1 time per week","never","1-3 times per day",1,2,3,4,"2-3 Times a Week","No",NA,NA,1,2,3,4,"Increase","Decrease",1,2,3,4,1,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Price of the product",NA,"Whether the product is antibiotic and/or hormone free",NA,NA,NA,NA,NA,1,2,3,4,"Definitely yes","Definitely not",1,2,3,4,10,1,2,3,4,"Neutral","Neutral",1,2,3,4,1,"California","F","Other","Associates",1976,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","4|6|2|7|1","3|2","2|3|4|11|5|14|13|9|10|1|12|7|8|6","12|11|4|3|2|7|13",NA
0,"2016-06-23 12:44:12","2016-06-23 12:45:53",1,"e2505177dbad78d7a247c4e031302bf6","Yes, I agree to participate in this study.","e2505177dbad78d7a247c4e031302bf6","e2505177dbad78d7a247c4e031302bf6",1,"less than 1 time per week","1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week","1-3 times per day","1-6 times per week","1-6 times per week","1-6 times per week","never","less than 1 time per week","1-6 times per week","1-6 times per week","less than 1 time per week",1,2,3,4,"Less than once a week","No",NA,NA,1,2,3,4,"Somewhat Decrease","Somewhat Decrease",1,2,3,4,1,"Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree",NA,"Nutritional content of the product",NA,"Whether the animals had a good standard of living",NA,NA,NA,NA,1,2,3,4,"Maybe","Maybe",1,2,3,4,7,1,2,3,4,"Somewhat Difficult","Somewhat Difficult",1,2,3,4,1,"North Carolina","F","University-level education, with degree (e.g. BA, BSc, ...)",NA,NA,"$10,001 - $20,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","2|1|7|6|4","3|2","8|5|13|6|9|1|7|14|3|12|10|4|11|2","3|7|4|12|11|2|13",NA
0,"2016-06-23 12:42:43","2016-06-23 12:45:55",1,"558e002c4b2fde83d65b2d62ca4740e5","Yes, I agree to participate in this study.","558e002c4b2fde83d65b2d62ca4740e5","558e002c4b2fde83d65b2d62ca4740e5",1,"less than 1 time per week","1-6 times per week","1-6 times per week","never","1-6 times per week","1-6 times per week","never","1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week","less than 1 time per week","never","less than 1 time per week",1,2,3,4,"Every day","No",NA,NA,1,2,3,4,"Somewhat increase","Maintain current levels",1,2,3,4,1,"Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree",NA,"Nutritional content of the product","Whether the product is antibiotic and/or hormone free",NA,NA,NA,NA,NA,1,2,3,4,"Probably yes","Probably not",1,2,3,4,10,1,2,3,4,"Very Difficult","Somewhat Easy",1,2,3,4,1,"New Jersey","female","Other","culinary",1993,"$0 - $10,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"1|5","1|6|7|2|4","3|2","9|6|12|8|2|4|11|13|10|3|1|7|5|14","11|4|3|2|7|12|13",NA
0,"2016-06-23 12:41:06","2016-06-23 12:46:11",1,"ad4fe4c7b4eb8ae0c6841ccb8fa6a366","Yes, I agree to participate in this study.","ad4fe4c7b4eb8ae0c6841ccb8fa6a366","ad4fe4c7b4eb8ae0c6841ccb8fa6a366",1,"1-6 times per week","1-6 times per week","less than 1 time per week","less than 1 time per week","1-6 times per week","less than 1 time per week","less than 1 time per week","1-3 times per day","1-6 times per week","1-3 times per day","1-6 times per week","1-6 times per week","less than 1 time per week","1-6 times per week",1,2,3,4,"Every day","No",NA,NA,1,2,3,4,"Maintain current levels","Maintain current levels",1,2,3,4,1,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Probably not","Maybe",1,2,3,4,7,1,2,3,4,"Difficult","Neutral",1,2,3,4,1,"North Carolina","male","Secondary/high school",NA,1967,"$20,001 - $30,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","2|4|7|1|6","2|3","6|2|3|10|9|8|11|14|7|12|4|1|13|5","11|3|2|12|4|7|13",NA
0,"2016-06-23 12:44:20","2016-06-23 12:46:15",1,"7b5bd1fe5c835c3598e490b3e42432d8","Yes, I agree to participate in this study.","7b5bd1fe5c835c3598e490b3e42432d8","7b5bd1fe5c835c3598e490b3e42432d8",1,"1-3 times per day","4 or more times per day","less than 1 time per week","1-6 times per week","never","1-3 times per day","never","less than 1 time per week","1-3 times per day","4 or more times per day","1-6 times per week","1-6 times per week","1-6 times per week","less than 1 time per week",1,2,3,4,"Every other day","No",NA,NA,1,2,3,4,"Maintain current levels","Somewhat Decrease",1,2,3,4,1,"Strongly disagree","Neither agree nor disagree","Disagree","Somewhat disagree","Somewhat agree","Price of the product",NA,NA,NA,"How the product tastes",NA,NA,NA,1,2,3,4,"Probably not","Maybe",1,2,3,4,7,1,2,3,4,"Somewhat Difficult","Difficult",1,2,3,4,1,"New Hampshire","Female","Some university-level education, without degree",NA,1994,"$30,001 - $40,000",1,2,3,4,1,1,2,3,4,1,1,2,3,4,"5|1","7|2|6|4|1","2|3","10|1|12|3|11|14|7|4|9|2|6|13|8|5","3|12|11|7|2|4|13",NA
