"mTurkID","treatment","block_id"
"d7da200b480688d491a2f43656334daa","veg",909
"06e389b7921340a104e30fed3d65d22e","veg",551
"a91dbf42525d7314f82cc9ecb7e21857","veg",775
"76e32dd4e9ea6de500f2d7283049a918","control",221
"15a789ba3c3bf1df1ad5f7f2e2d2f398","veg",461
"a2cd5f18f12b663d791dd1f5d820e05d","veg",131
"8d5af98cb0bb3f02eee6cbeff8cf9d08","control",765
"54a70e7232078e80853af4acbd080575","veg",874
"453f27be41481a602e250fd591ee285a","reduce",778
"2f1772bc51ae9e56e1994468e1f08089","control",572
"1d8c70d0306cbcb34ac8596f3d1e3fe1","control",8
"f3256aece73efa4965244e92fb695e21","veg",100
"7a5cffd98115e61d6bb44b8cc2e9b1a7","reduce",547
"9ddd0e9532be9f45d06a2e50412f2647","control",481
"22c75f2a16f6649d533d5693204fc3a9","control",341
"938eea3fb82936acdb36d549e963d659","veg",831
"f65310bf54725f2fa56e0f521f1469ba","control",411
"2599429debb5782d7ea0e0c694b888e0","reduce",719
"548f7974567205925fb974d6dde2d4aa","reduce",889
"2b2c93c55579ca079d083af7bcbe18c6","veg",234
"afeb83864329c41179ca2485ea7a22e7","control",558
"28e1032946f63d2cc5cb6278188f6cc5","reduce",413
"18baea71fa1824d9e4940ec4f5f05336","control",434
"b6432114ba4ee63e2e2ff2960c081b9f","control",844
"7baf88ca3f5bb75cf0626cd120bef710","veg",315
"82a92c5b33fd00bb3aea99aa205fd0bc","control",585
"04c7004595baa1010972c655efac1cac","control",551
"a6ad143ea9f9760a0511e086ca5cc847","reduce",823
"40cc6d9634ffe93ead1fa4d5b382e182","control",746
"820acec8e7e6867c42f2f0372404a56c","reduce",759
"c3339a3774307f1f8bd9a64fb593a746","control",120
"ace0c874ef81c373aaff05740f2975f5","veg",978
"156d069785d1ec203d65b4ad8e34a7a4","control",787
"89d5035671f62fd405cd737e1e3d35bb","veg",398
"7f0093e2391ffc78ee1e49541b68b73a","control",690
"6ecec689339c59e6e619d4d7e940b912","veg",414
"ace9a86c64f4ef8008e6ea77618364f1","veg",764
"1cd65df70eb2c9562b728907f4bc708d","veg",653
"4f06163fbf646481f12ea270bd9adf1c","veg",541
"e154a8db5a602884a0d83474b72da789","veg",863
"d306722298c3ab529369c0b1de13694b","reduce",6
"6de413c0794b0804a1bdcfc3925171e2","reduce",449
"c5610571d63b33377c8975dddeefd5cc","control",909
"0b6bb1223f73ff39b9aeb760869da8b3","reduce",271
"fdf97d69ca93a147a2f0e459d650d446","veg",188
"e4daa7888aa2feff4b648fd377583644","control",775
"52efec5f8377adc4d5c9d99754aad328","control",100
"ae989961f4a5c470e6656abe03f2673b","veg",448
"9593b4deaa7c20e1384cd0ed9ac62ce7","reduce",907
"75b3b5ea1617ff674b8d352b38d0a911","reduce",65
"1d39bc917e1a64d9f233225a981529f1","veg",300
"87bb7dbe46a42cd87155900d5ce109aa","reduce",979
"ad917e8393f51e5a82ce9f476f340d94","veg",758
"b3b6fd24332883f4e4326ad72d61e4b2","reduce",812
"8002e33a0798fd9c89da1b8c8e99c56c","reduce",495
"ab49b0b1fcba923b9dfdf61a67d40b5d","control",911
"a6c4efb7b4726e2fb765783de4a31c2e","veg",964
