"V1","V2"
"recordedDate","Recorded Date"
"QID82_1","Q1.2_1 - MTurk WorkerID:"
"QID82_2","Q1.2_2 - Re-enter MTurk WorkerID:"
"progress","Progress"
"_recordId","Response ID"
"startDate","Start Date"
"endDate","End Date"
"status","Response Type"
"ipAddress","IP Address"
"duration","Duration (in seconds)"
"finished","Finished"
"MID","MID"
"QID74_1_44edb4750c3e43f892386f9dTopic0","Q6.2_1 - Topics"
"QID133_FIRST_CLICK","Q1.3_First Click - First Click"
"QID133_LAST_CLICK","Q1.3_Last Click - Last Click"
"QID133_PAGE_SUBMIT","Q1.3_Page Submit - Page Submit"
"QID133_CLICK_COUNT","Q1.3_Click Count - Click Count"
"QID135_FIRST_CLICK","Q2.2_First Click - First Click"
"QID135_LAST_CLICK","Q2.2_Last Click - Last Click"
"QID135_PAGE_SUBMIT","Q2.2_Page Submit - Page Submit"
"QID135_CLICK_COUNT","Q2.2_Click Count - Click Count"
"QID116_FIRST_CLICK","Q3.3_First Click - First Click"
"QID116_LAST_CLICK","Q3.3_Last Click - Last Click"
"QID116_PAGE_SUBMIT","Q3.3_Page Submit - Page Submit"
"QID116_CLICK_COUNT","Q3.3_Click Count - Click Count"
"QID125_FIRST_CLICK","Q4.3_First Click - First Click"
"QID125_LAST_CLICK","Q4.3_Last Click - Last Click"
"QID125_PAGE_SUBMIT","Q4.3_Page Submit - Page Submit"
"QID125_CLICK_COUNT","Q4.3_Click Count - Click Count"
"QID122_FIRST_CLICK","Q5.3_First Click - First Click"
"QID122_LAST_CLICK","Q5.3_Last Click - Last Click"
"QID122_PAGE_SUBMIT","Q5.3_Page Submit - Page Submit"
"QID122_CLICK_COUNT","Q5.3_Click Count - Click Count"
"QID73_TEXT","Q6.1 - In your own words, please describe the main message(s) of the article you j..."
"QID139_FIRST_CLICK","Q31_First Click - First Click"
"QID139_LAST_CLICK","Q31_Last Click - Last Click"
"QID139_PAGE_SUBMIT","Q31_Page Submit - Page Submit"
"QID139_CLICK_COUNT","Q31_Click Count - Click Count"
"QID74_1","Q6.2_1 - Thought #1:"
"QID74_2","Q6.2_2 - Thought #2:"
"QID74_3","Q6.2_3 - Thought #3:"
"QID132_FIRST_CLICK","Q6.3_First Click - First Click"
"QID132_LAST_CLICK","Q6.3_Last Click - Last Click"
"QID132_PAGE_SUBMIT","Q6.3_Page Submit - Page Submit"
"QID132_CLICK_COUNT","Q6.3_Click Count - Click Count"
"QID96","Q7.1 - Do you intend to change your fruit and vegetable consumption over the next..."
"QID100","Q7.2 - Do you intend to change your meat consumption over the next month (30 days)..."
"QID128_2","Q7.3_2 - Completely eliminating meat from your diet for the next year"
"QID128_3","Q7.3_3 - Reducing your meat consumption by 25% for the next year"
"QID129_FIRST_CLICK","Q7.4_First Click - First Click"
"QID129_LAST_CLICK","Q7.4_Last Click - Last Click"
"QID129_PAGE_SUBMIT","Q7.4_Page Submit - Page Submit"
"QID129_CLICK_COUNT","Q7.4_Click Count - Click Count"
"QID136_1","Q8.1_1 - Purchasing animal products (like meat, eggs, dairy) contributes to the suff..."
"QID136_2","Q8.1_2 - Most animals that are raised for food have a good standard of living"
"QID136_4","Q8.1_4 - Raising animals for food contributes to environmental degradation"
"QID136_7","Q8.1_7 - Most people would be healthier if they ate less meat"
"QID136_6","Q8.1_6 - More and more people in the US are reducing their meat consumption"
"QID130_FIRST_CLICK","Q9.2_First Click - First Click"
"QID130_LAST_CLICK","Q9.2_Last Click - Last Click"
"QID130_PAGE_SUBMIT","Q9.2_Page Submit - Page Submit"
"QID130_CLICK_COUNT","Q9.2_Click Count - Click Count"
"QID131_FIRST_CLICK","Q9.4_First Click - First Click"
"QID131_LAST_CLICK","Q9.4_Last Click - Last Click"
"QID131_PAGE_SUBMIT","Q9.4_Page Submit - Page Submit"
"QID131_CLICK_COUNT","Q9.4_Click Count - Click Count"
